Name,"Wikidata QID","subclass of","instance of","musical parameter","used by"
diagram,Q959962,"performance practice",glyph,,editor
diagram,Q959962,"performance practice",glyph,,composer
"numeric time signature",Q155234,tempo,"musical notation",duration,composer
"numeric time signature",Q155234,tempo,"musical notation",duration,conductor
"numeric time signature",Q155234,tempo,"musical notation",duration,editor
"numeric time signature",Q155234,"time signature","musical notation",duration,composer
"numeric time signature",Q155234,"time signature","musical notation",duration,conductor
"numeric time signature",Q155234,"time signature","musical notation",duration,editor
"time signature",Q155234,tempo,"musical notation",duration,conductor
timbre,Q176501,,"musical concept",timbre,conductor
timbre,Q176501,,"musical concept",timbre,composer
timbre,Q176501,,"musical concept",timbre,performer
timbre,Q176501,,"sound concept",timbre,conductor
timbre,Q176501,,"sound concept",timbre,composer
timbre,Q176501,,"sound concept",timbre,performer
timbre,Q176501,,"aspect of sound",timbre,conductor
timbre,Q176501,,"aspect of sound",timbre,composer
timbre,Q176501,,"aspect of sound",timbre,performer
rinforzando,Q14278114,tempo,"musical notation",tempo,composer
rinforzando,Q14278114,tempo,"musical notation",tempo,editor
"con sordina",Q941882,"musical instrument part","musical instrument part",timbre,conductor
"con sordina",Q941882,"musical instrument part","musical instrument part",timbre,performer
"con sordina",Q941882,"musical instrument part","musical notation",timbre,conductor
"con sordina",Q941882,"musical instrument part","musical notation",timbre,performer
"pedal keyboard",Q1758965,"musical instrument part","musical instrument part",timbre,performer
"pedal keyboard",Q1758965,"musical instrument part","musical notation",timbre,performer
"pedal keyboard",Q1758965,fingering,"musical instrument part",timbre,performer
"pedal keyboard",Q1758965,fingering,"musical notation",timbre,performer
pitch,Q118819,,"musical concept",pitch,
pitch,Q118819,,"aspect of sound",pitch,
fingering,Q608487,"musical instrument part","musical concept",timbre,editor
fingering,Q608487,"musical instrument part","musical concept",timbre,performer
fingering,Q608487,"musical instrument part","musical notation",timbre,editor
fingering,Q608487,"musical instrument part","musical notation",timbre,performer
"Instrument Cue",,instrumentation,"musical notation",,conductor
"Instrument Cue",,instrumentation,"musical notation",,performer
custos,Q124518047,,"musical notation",pitch,editor
custos,Q124518047,,"musical notation",pitch,performer
ossia,Q2032873,variation,"musical concept",pitch,conductor
ossia,Q2032873,variation,"musical concept",pitch,editor
ossia,Q2032873,variation,"musical concept",pitch,performer
ossia,Q2032873,variation,"musical concept",duration,conductor
ossia,Q2032873,variation,"musical concept",duration,editor
ossia,Q2032873,variation,"musical concept",duration,performer
ossia,Q2032873,variation,"musical notation",pitch,conductor
ossia,Q2032873,variation,"musical notation",pitch,editor
ossia,Q2032873,variation,"musical notation",pitch,performer
ossia,Q2032873,variation,"musical notation",duration,conductor
ossia,Q2032873,variation,"musical notation",duration,editor
ossia,Q2032873,variation,"musical notation",duration,performer
underline,Q1187096,,glyph,,"scholar (owner)"
underline,Q1187096,,glyph,,performer
underline,Q1187096,,glyph,,conductor
bounding,,,glyph,,conductor
bounding,,,glyph,,performer
"vertical break",,,glyph,,performer
"vertical break",,,glyph,,conductor
brackets,Q174565,,glyph,,editor
brackets,Q174565,,glyph,,performer
deletion,,,glyph,,conductor
deletion,,,glyph,,performer
deletion,,,glyph,,"scholar (owner)"
"dashed line",,underline,glyph,,editor
"dashed line",,underline,glyph,,performer
arrow,,pointer,glyph,,conductor
arrow,,pointer,glyph,,performer
bar,Q3240892,,"musical-structural concept",duration,editor
bar,Q3240892,,"musical notation",duration,editor
"bar number",,,"musical notation",duration,conductor
"bar number",,,"musical notation",duration,editor
"bar number",,,"musical notation",duration,performer
"rest measure count",,,"musical notation",duration,performer
"rest measure count",,,"musical notation",duration,conductor
"Rehearsal letter",Q1094518,,"musical notation",duration,conductor
"Rehearsal letter",Q1094518,,"musical notation",duration,editor
"Rehearsal letter",Q1094518,,"musical notation",duration,performer
"Rehearsal letter",Q1094518,,"musical-structural concept",duration,conductor
"Rehearsal letter",Q1094518,,"musical-structural concept",duration,editor
"Rehearsal letter",Q1094518,,"musical-structural concept",duration,performer
"instrument call",,instrumentation,"musical notation",timbre,conductor
"instrument call",,instrumentation,"musical notation",timbre,performer
"instrument call",,instrumentation,"musical notation",timbre,editor
chronometry,Q186398,,"musical concept",duration,performer
chronometry,Q186398,,"musical concept",duration,editor
chronometry,Q186398,,"musical concept",duration,composer
chronometry,Q186398,,"musical concept",duration,conductor
solmization,Q223064,,"music theory",pitch,performer
solmization,Q223064,,"music theory",pitch,editor
solmization,Q223064,,"music theory",pitch,"scholar (owner)"
solmization,Q223064,,"musical technique",pitch,performer
solmization,Q223064,,"musical technique",pitch,editor
solmization,Q223064,,"musical technique",pitch,"scholar (owner)"
"figured bass",Q349603,,"musical notation",pitch,performer
"figured bass",Q349603,,"musical notation",pitch,editor
"figured bass",Q349603,,"musical notation",pitch,"scholar (owner)"
"figured bass",Q349603,,"music theory",pitch,performer
"figured bass",Q349603,,"music theory",pitch,editor
"figured bass",Q349603,,"music theory",pitch,"scholar (owner)"
"figured bass",Q349603,,"musical technique",pitch,performer
"figured bass",Q349603,,"musical technique",pitch,editor
"figured bass",Q349603,,"musical technique",pitch,"scholar (owner)"
"Roman numeral analysis",Q2358919,,"music theory",pitch,"scholar (owner)"
"Roman numeral analysis",Q2358919,,"music theory",pitch,editor
"Roman numeral analysis",Q2358919,,"musical notation",pitch,"scholar (owner)"
"Roman numeral analysis",Q2358919,,"musical notation",pitch,editor
"chord symbol",Q1504804,,"musical notation",pitch,"scholar (owner)"
"chord symbol",Q1504804,,"musical notation",pitch,editor
"chord symbol",Q1504804,,"musical notation",pitch,performer
"chord symbol",Q1504804,,"music theory",pitch,"scholar (owner)"
"chord symbol",Q1504804,,"music theory",pitch,editor
"chord symbol",Q1504804,,"music theory",pitch,performer
"phrase analysis",,,"music theory",,editor
"phrase analysis",,,"music theory",,"scholar (owner)"
arpeggio,Q506986,ornament,"musical technique",duration,performer
arpeggio,Q506986,ornament,"musical technique",pitch,performer
